449,334,411,245
452,335,406,250
452,335,406,250
452,335,406,250
452,335,406,250
452,335,406,250
452,318,408,264
452,303,410,275
445,289,417,292
445,271,417,310
445,271,417,310
445,271,417,310
444,268,417,317
444,268,417,317
444,268,417,317
444,268,417,317
444,268,417,317
444,268,417,317
444,268,417,317
444,268,417,317
444,260,406,325
453,254,387,334
453,253,378,335
453,253,370,335
453,253,370,335
456,253,367,335
456,253,367,335
456,253,367,335
456,253,367,335
456,253,367,335
456,253,367,335
456,253,367,335
456,253,367,335
456,253,367,335
456,256,366,332
456,256,366,332
456,268,386,320
456,262,437,270
456,257,446,242
456,262,480,236
491,246,498,252
499,223,504,275
507,206,515,293
507,206,515,293
507,203,507,296
507,203,507,296
507,203,507,296
507,203,507,296
507,203,507,296
507,203,507,296
507,203,507,296
507,203,507,296
507,203,507,296
507,203,507,296
507,203,507,296
507,203,507,296
507,217,489,282
507,217,489,282
507,217,489,282
507,217,489,282
